brand,model,version,archetype,runhub_score,category_rank,score_ride,score_cushioning,score_weight,score_comfort_fit,score_durability,score_expert,value_rating,score_confidence,msrp_usd,image_url
Saucony,Endorphin Pro,4,carbon_racer,28,14,1.2,6.2,0.6,9.1,5.0,3.1,Premium,high,225,https://cdn.runrepeat.com/storage/gallery/product_primary/40334/saucony-endorphin-pro-4-21356820-720.jpg
Hoka,Rocket X 2,2,carbon_racer,26,15,3.1,4.4,1.9,1.6,5.0,1.9,Premium,high,250,https://cdn.runrepeat.com/storage/gallery/product_primary/39714/hoka-rocket-x-2-21208105-720.jpg
ASICS,Metaspeed Sky+,,carbon_racer,19,16,0.6,0.6,3.8,4.1,5.0,0.9,Premium,high,250,https://cdn.runrepeat.com/storage/gallery/product_primary/38635/asics-metaspeed-sky-21232018-720.jpg
ASICS,Magic Speed,4,carbon_racer,17,17,0.0,9.4,0.0,10.0,5.0,0.0,Premium,high,170,https://cdn.runrepeat.com/storage/gallery/product_primary/40419/asics-magic-speed-4-21784091-720.jpg
New Balance,Fresh Foam X Hierro,v9,trail,76,1,10.0,8.5,3.1,9.2,10.0,5.0,Great value,high,155,https://cdn.runrepeat.com/storage/gallery/product_primary/40693/new-balance-fresh-foam-x-hierro-9-22723086-720.jpg
Hoka,Speedgoat,5,trail,63,2,3.3,0.8,8.5,8.1,5.0,10.0,Great value,high,155,https://cdn.runrepeat.com/storage/gallery/product_primary/38038/hoka-speedgoat-5-21236516-720.jpg
Hoka,Challenger,8,trail,59,3,5.0,10.0,6.2,5.8,5.0,5.0,Great value,medium,155,
Hoka,Speedgoat,6,trail,54,4,5.0,9.2,7.3,1.9,5.0,5.0,Great value,medium,155,
Salomon,Speedcross,6,trail,53,5,0.0,7.7,3.8,5.8,5.0,7.5,Great value,high,145,https://cdn.runrepeat.com/storage/gallery/product_primary/38918/salomon-speedcross-6-21230510-720.jpg
Salomon,Genesis,,trail,52,6,5.0,5.4,9.2,1.9,5.0,5.0,Fair,medium,150,
Topo Athletic,Ultraventure,4,trail,52,7,5.0,6.2,4.6,5.8,5.0,5.0,Fair,medium,155,
Brooks,Cascadia,18,trail,46,8,5.0,3.5,2.3,5.8,5.0,5.0,Premium,medium,150,
Saucony,Peregrine,15,trail,44,9,5.0,1.5,7.3,1.9,5.0,5.0,Fair,medium,140,
Nike,Zegama,2,trail,44,10,5.0,6.9,1.5,1.9,5.0,5.0,Premium,medium,180,
Altra,Experience Wild,2,trail,43,11,5.0,2.3,5.4,1.9,5.0,5.0,Fair,medium,140,
Brooks,Cascadia,17,trail,38,12,5.0,4.6,0.8,10.0,5.0,0.0,Premium,medium,140,https://cdn.runrepeat.com/storage/gallery/product_primary/39683/brooks-cascadia-17-21189514-720.jpg
Altra,Olympus,6,trail,38,13,5.0,3.5,0.0,1.9,5.0,5.0,Premium,medium,185,
Saucony,Peregrine,14,trail,37,14,6.7,0.0,10.0,8.1,0.0,2.5,Premium,high,140,https://cdn.runrepeat.com/storage/gallery/product_primary/40312/saucony-peregrine-14-21408357-720.jpg
