slug,name,location,region,city,lat,lng,country,country_slug,url,day,time,distance,type
gayndahriverwalk,Gayndah River Walk parkrun,Gayndah River Walk,Queensland,Gayndah,-25.624063,151.611063,Australia,australia,https://www.parkrun.com.au/gayndahriverwalk/,Saturday,,5 km,parkrun
geeveston,Geeveston parkrun,"Heritage Park,",Tasmania,Geeveston,-43.163256,146.925685,Australia,australia,https://www.parkrun.com.au/geeveston/,Saturday,,5 km,parkrun
geographebay,Geographe Bay parkrun,Geographe Bay Rd,Western Australia,Busselton,-33.642342,115.354374,Australia,australia,https://www.parkrun.com.au/geographebay/,Saturday,,5 km,parkrun
georgetown,George Town parkrun,Kanamaluka trail,Tasmania,George Town,-41.109186,146.821208,Australia,australia,https://www.parkrun.com.au/georgetown/,Saturday,,5 km,parkrun
ginninderra,Ginninderra parkrun,John Knight Memorial Park,Australian Capital Territory,Macquarie,-35.234051,149.073486,Australia,australia,https://www.parkrun.com.au/ginninderra/,Saturday,,5 km,parkrun
gladstoneqld,Gladstone QLD parkrun,Lions Park,Queensland,Gladstone,-23.857219,151.234053,Australia,australia,https://www.parkrun.com.au/gladstoneqld/,Saturday,,5 km,parkrun
glasshousemountainsconservation,Glass House Mountains Conservation parkrun,Glass House Mountains Conservation Park,Queensland,D'Aguilar,-26.986817,152.823678,Australia,australia,https://www.parkrun.com.au/glasshousemountainsconservation/,Saturday,,5 km,parkrun
glenoma,Glenoma parkrun,Glenoma Park,Queensland,Redlynch,-16.899012,145.708784,Australia,australia,https://www.parkrun.com.au/glenoma/,Saturday,,5 km,parkrun
gloucesterdistrict,Gloucester District parkrun,Gloucester District Park,New South Wales,Gloucester,-32.00456,151.953594,Australia,australia,https://www.parkrun.com.au/gloucesterdistrict/,Saturday,,5 km,parkrun
goldenbeach,Golden Beach parkrun,Woorim Park,Queensland,Caloundra,-26.829014,153.120795,Australia,australia,https://www.parkrun.com.au/goldenbeach/,Saturday,,5 km,parkrun
goldfieldsreservoir,Goldfields Reservoir parkrun,Goldfields Reservoir,Victoria,Maryborough,-37.065018,143.731855,Australia,australia,https://www.parkrun.com.au/goldfieldsreservoir/,Saturday,,5 km,parkrun
goolwa,Goolwa parkrun,Richard Ballard Park,South Australia,Goolwa,-35.499385,138.789448,Australia,australia,https://www.parkrun.com.au/goolwa/,Saturday,,5 km,parkrun
goondiwindi,Goondiwindi parkrun,Goondiwindi,Queensland,Goondiwindi,-28.54951,150.307043,Australia,australia,https://www.parkrun.com.au/goondiwindi/,Saturday,,5 km,parkrun
goulburnrivertrailseymour,"Goulburn River Trail parkrun, Seymour","Goulburn River Trail, Seymour",Victoria,Kinglake West,-37.018279,145.124768,Australia,australia,https://www.parkrun.com.au/goulburnrivertrailseymour/,Saturday,,5 km,parkrun
goulburn,Goulburn parkrun,Marsden Weir Park,New South Wales,Goulburn,-34.736445,149.706096,Australia,australia,https://www.parkrun.com.au/goulburn/,Saturday,,5 km,parkrun
grafton,Grafton parkrun,Barnier Park,New South Wales,Grafton,-29.643847,152.920487,Australia,australia,https://www.parkrun.com.au/grafton/,Saturday,,5 km,parkrun
grahamandrews,Graham Andrews parkrun,Graham Andrews Parkland,Queensland,Roma,-26.412576,146.244782,Australia,australia,https://www.parkrun.com.au/grahamandrews/,Saturday,,5 km,parkrun
grahamstownaquaticcentremedowie,"Grahamstown Aquatic Centre parkrun, Medowie","Grahamstown Aquatic Centre, Medowie",New South Wales,Medowie,-32.759748,151.822113,Australia,australia,https://www.parkrun.com.au/grahamstownaquaticcentremedowie/,Saturday,,5 km,parkrun
grandridgerailtrail,"Grand Ridge Rail Trail parkrun, Mirboo North",Grand Ridge Rail Trail,Victoria,Moe,-38.400561,146.16502,Australia,australia,https://www.parkrun.com.au/grandridgerailtrail/,Saturday,,5 km,parkrun
greatsouthernrailtrailkorumburra,"Great Southern Rail Trail parkrun, Korumburra","Great Southern Rail Trail, Korumburra",Victoria,North Wonthaggi,-38.432179,145.825156,Australia,australia,https://www.parkrun.com.au/greatsouthernrailtrailkorumburra/,Saturday,,5 km,parkrun
greenway,GreenWay parkrun,Richard Murden Reserve,New South Wales,Summer Hill,-33.882504,151.14457,Australia,australia,https://www.parkrun.com.au/greenway/,Saturday,,5 km,parkrun
greenbank,Greenbank parkrun,Spring Mountain Reserve,Queensland,Springfield Lakes,-27.739202,152.922846,Australia,australia,https://www.parkrun.com.au/greenbank/,Saturday,,5 km,parkrun
greenheartrobinaparklands,Greenheart Robina Parklands parkrun,Greenheart Robina Parklands,Queensland,Clear Island Waters,-28.063017,153.382328,Australia,australia,https://www.parkrun.com.au/greenheartrobinaparklands/,Saturday,,5 km,parkrun
gungahlin,Gungahlin parkrun,Yerrabi Pond,Australian Capital Territory,Kaleen,-35.178952,149.129405,Australia,australia,https://www.parkrun.com.au/gungahlin/,Saturday,,5 km,parkrun
hamiltonisland,Hamilton Island parkrun,Hamilton Island,Queensland,Proserpine,-20.345551,148.95513,Australia,australia,https://www.parkrun.com.au/hamiltonisland/,Saturday,,5 km,parkrun
hamilton,Hamilton parkrun,Lake Hamilton,Victoria,Hamilton,-37.737592,142.040024,Australia,australia,https://www.parkrun.com.au/hamilton/,Saturday,,5 km,parkrun
hamptonoval,Hampton Oval parkrun,Hampton Oval,Western Australia,Dampier,-20.666182,116.70334,Australia,australia,https://www.parkrun.com.au/hamptonoval/,Saturday,,5 km,parkrun
harmonyboulevard,Harmony Boulevard parkrun,Harmony Boulevard Park,Queensland,Buderim,-26.738409,153.059891,Australia,australia,https://www.parkrun.com.au/harmonyboulevard/,Saturday,,5 km,parkrun
harrisavenue,Harris Avenue parkrun,Harris Avenue Sports Centre,Queensland,Burpengary,-27.171876,152.94537,Australia,australia,https://www.parkrun.com.au/harrisavenue/,Saturday,,5 km,parkrun
hastingsforeshore,Hastings Foreshore parkrun,Hastings Foreshore,Victoria,Hastings,-38.307311,145.196651,Australia,australia,https://www.parkrun.com.au/hastingsforeshore/,Saturday,,5 km,parkrun
henrykendallreserve,Henry Kendall Reserve parkrun,Henry Kendall Reserve,New South Wales,Camden Haven,-31.636004,152.794806,Australia,australia,https://www.parkrun.com.au/henrykendallreserve/,Saturday,,5 km,parkrun
herveybay,Hervey Bay parkrun,Lions Park,Queensland,Urangan,-25.283163,152.90367,Australia,australia,https://www.parkrun.com.au/herveybay/,Saturday,,5 km,parkrun
hiddenvale,Hidden Vale parkrun,Hidden Vale,Queensland,Thagoona,-27.716932,152.46597,Australia,australia,https://www.parkrun.com.au/hiddenvale/,Saturday,,5 km,parkrun
highfields,Highfields parkrun,Kratzke Oval,Queensland,Wilsonton Heights,-27.446059,151.968834,Australia,australia,https://www.parkrun.com.au/highfields/,Saturday,,5 km,parkrun
highlands,Highlands parkrun,Stocklandâ€™s Highlands community,Victoria,Roxburgh Park,-37.59106,144.903713,Australia,australia,https://www.parkrun.com.au/highlands/,Saturday,,5 km,parkrun
hoblersbridgereserve,Hoblers Bridge Reserve parkrun,Hoblers Bridge Reserve,Tasmania,Newstead,-41.436491,147.170722,Australia,australia,https://www.parkrun.com.au/hoblersbridgereserve/,Saturday,,5 km,parkrun
homestead,Homestead parkrun,Homestead,Western Australia,Maddington,-32.053807,115.970386,Australia,australia,https://www.parkrun.com.au/homestead/,Saturday,,5 km,parkrun
